Year,Category,Subcategory Code,Subcategory Name,Document Count,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Keyword 6,Keyword 7,Keyword 8,Keyword 9,Keyword 10
2017,Computer Science,cs.FL,Formal Languages,330,automata,finite,languages,regular,language,systems,word,complexity,state,automaton
2018,Computer Science,cs.FL,Formal Languages,304,languages,regular,automata,finite,language,words,systems,complexity,class,state
2019,Computer Science,cs.FL,Formal Languages,412,automata,languages,finite,time,words,regular,language,complexity,number,state
2020,Computer Science,cs.FL,Formal Languages,447,automata,finite,state,number,languages,language,automaton,words,word,regular
2021,Computer Science,cs.FL,Formal Languages,455,automata,finite,systems,state,logic,automaton,system,algorithm,regular,complexity
2022,Computer Science,cs.FL,Formal Languages,421,automata,time,language,systems,logic,temporal,languages,state,prove,algorithm
2023,Computer Science,cs.FL,Formal Languages,471,automata,finite,languages,systems,language,given,deterministic,words,semantics,complexity
2024,Computer Science,cs.FL,Formal Languages,464,automata,state,algorithm,system,languages,regular,systems,language,complexity,words
2025,Computer Science,cs.FL,Formal Languages,532,automata,systems,finite,languages,language,time,verification,system,formal,regular
2026,Computer Science,cs.FL,Formal Languages,131,automata,finite,language,languages,regular,state,complexity,time,deterministic,free
2015,Computer Science,cs.GT,Computer Science & Game Theory,532,game,games,optimal,mechanism,information,agents,mechanisms,equilibrium,price,network
2016,Computer Science,cs.GT,Computer Science & Game Theory,617,game,games,mechanism,equilibrium,optimal,network,agents,players,networks,number
2017,Computer Science,cs.GT,Computer Science & Game Theory,658,game,games,optimal,equilibrium,mechanism,algorithm,strategy,information,case,number
2018,Computer Science,cs.GT,Computer Science & Game Theory,715,game,games,agents,equilibrium,algorithms,algorithm,learning,mechanism,information,network
2019,Computer Science,cs.GT,Computer Science & Game Theory,878,games,game,learning,agents,algorithm,time,equilibrium,information,strategy,players
2020,Computer Science,cs.GT,Computer Science & Game Theory,1050,games,game,agents,algorithm,mechanism,optimal,social,equilibrium,agent,time
2021,Computer Science,cs.GT,Computer Science & Game Theory,1102,agents,games,game,information,optimal,learning,agent,players,player,equilibrium
2022,Computer Science,cs.GT,Computer Science & Game Theory,1194,games,learning,game,equilibrium,agents,nash,equilibria,algorithm,algorithms,agent
2023,Computer Science,cs.GT,Computer Science & Game Theory,1330,games,game,learning,information,agents,multi,algorithm,mechanism,equilibrium,agent
2024,Computer Science,cs.GT,Computer Science & Game Theory,1550,learning,games,algorithms,game,agents,algorithm,framework,agent,equilibrium,optimal
2025,Computer Science,cs.GT,Computer Science & Game Theory,1589,games,agents,game,learning,optimal,agent,algorithm,algorithms,framework,number
2026,Computer Science,cs.GT,Computer Science & Game Theory,467,agents,agent,game,games,optimal,algorithm,framework,equilibrium,learning,online
2015,Computer Science,cs.GL,General Literature,3,computational,information,scientific,computer,science,research,structure,publishing,students,works
2016,Computer Science,cs.GL,General Literature,6,science,solution,tower,naughton,ideas,mram,hanoi,incompleteness,equal,computation
2017,Computer Science,cs.GL,General Literature,10,research,internet,code,science,scientific,artificial,intelligence,energy,other,blind
2018,Computer Science,cs.GL,General Literature,12,science,research,infrastructure,current,digital,rankings,vehicle,transportation,communication,human
2019,Computer Science,cs.GL,General Literature,13,computing,research,computer,project,software,university,scientific,metrics,years,oprema
2020,Computer Science,cs.GL,General Literature,14,research,software,science,computation,analog,kolmogorov,computer,engineering,digital,design
2021,Computer Science,cs.GL,General Literature,15,computer,science,turing,review,report,anomalies,award,research,process,light
2022,Computer Science,cs.GL,General Literature,35,science,systems,research,learning,analysis,review,computer,machine,future,information
2023,Computer Science,cs.GL,General Literature,10,science,quantum,games,lovelace,babbage,chatgpt,research,field,computer,program
2024,Computer Science,cs.GL,General Literature,6,research,science,computer,development,learning,bense,images,artificial,chatbots,book
2025,Computer Science,cs.GL,General Literature,10,kaggle,software,governance,learning,research,digital,years,aging,human,code
2026,Computer Science,cs.GL,General Literature,3,training,substance,problems,microcoder,difficulty,classification,categories,performance,child,across
2015,Computer Science,cs.GR,Graphics,114,algorithm,point,color,visualization,image,analysis,techniques,time,surface,methods
2016,Computer Science,cs.GR,Graphics,169,image,algorithm,surface,images,user,objects,mesh,face,time,shape
2017,Computer Science,cs.GR,Graphics,258,image,images,user,algorithm,design,time,surface,methods,system,demonstrate
2018,Computer Science,cs.GR,Graphics,369,image,shape,methods,algorithm,time,images,novel,space,network,propose
2019,Computer Science,cs.GR,Graphics,529,image,design,network,learning,video,shape,images,point,neural,propose
2020,Computer Science,cs.GR,Graphics,685,images,learning,network,image,methods,point,propose,motion,deep,space
2021,Computer Science,cs.GR,Graphics,773,image,neural,novel,images,network,propose,methods,rendering,learning,space
2022,Computer Science,cs.GR,Graphics,918,neural,image,rendering,images,learning,scene,novel,view,motion,propose
2023,Computer Science,cs.GR,Graphics,1232,rendering,neural,methods,novel,real,time,image,propose,fields,learning
2024,Computer Science,cs.GR,Graphics,1440,methods,image,images,novel,generation,quality,view,propose,neural,mesh
2025,Computer Science,cs.GR,Graphics,1594,methods,generation,video,neural,motion,rendering,multi,gaussian,view,novel
2026,Computer Science,cs.GR,Graphics,287,gaussian,time,methods,rendering,framework,generation,real,existing,motion,quality
2015,Computer Science,cs.AR,Hardware Architecture,83,memory,design,performance,architecture,hardware,system,fpga,systems,time,power
2016,Computer Science,cs.AR,Hardware Architecture,136,design,memory,energy,performance,systems,architecture,system,dram,hardware,fpga
2017,Computer Science,cs.AR,Hardware Architecture,183,memory,performance,energy,design,power,hardware,cache,architecture,processing,time
2018,Computer Science,cs.AR,Hardware Architecture,250,memory,performance,dram,hardware,design,system,cache,power,latency,architecture
2019,Computer Science,cs.AR,Hardware Architecture,245,memory,design,performance,energy,power,system,hardware,applications,time,cache
2020,Computer Science,cs.AR,Hardware Architecture,531,memory,performance,hardware,architecture,design,energy,power,system,learning,computing
2021,Computer Science,cs.AR,Hardware Architecture,726,hardware,performance,memory,design,architecture,energy,neural,system,computing,power
2022,Computer Science,cs.AR,Hardware Architecture,789,memory,hardware,performance,energy,design,software,applications,architecture,accelerator,processing
2023,Computer Science,cs.AR,Hardware Architecture,943,design,hardware,memory,performance,power,fpga,computing,applications,processing,system
2024,Computer Science,cs.AR,Hardware Architecture,1258,memory,hardware,design,performance,energy,neural,system,dram,architecture,applications
2025,Computer Science,cs.AR,Hardware Architecture,1713,memory,performance,design,hardware,power,applications,time,architecture,system,efficient
2026,Computer Science,cs.AR,Hardware Architecture,369,memory,hardware,design,performance,energy,efficiency,level,time,framework,times
2015,Computer Science,cs.HC,Human-Computer Interaction,306,users,user,online,system,design,time,research,systems,interaction,people
2016,Computer Science,cs.HC,Human-Computer Interaction,506,human,user,learning,interaction,system,systems,users,computer,social,mobile
2017,Computer Science,cs.HC,Human-Computer Interaction,658,human,user,systems,learning,robot,interaction,information,system,design,users
2018,Computer Science,cs.HC,Human-Computer Interaction,920,learning,users,system,human,design,user,time,systems,research,information
2019,Computer Science,cs.HC,Human-Computer Interaction,1414,human,user,users,system,learning,virtual,design,mobile,real,analysis
2020,Computer Science,cs.HC,Human-Computer Interaction,1930,user,visualization,users,learning,human,design,interaction,system,analysis,virtual
2021,Computer Science,cs.HC,Human-Computer Interaction,2173,human,learning,user,design,users,time,system,research,information,performance
2022,Computer Science,cs.HC,Human-Computer Interaction,2508,design,human,user,learning,users,information,research,system,systems,interaction
2023,Computer Science,cs.HC,Human-Computer Interaction,3715,user,design,human,systems,learning,virtual,research,framework,system,users
2024,Computer Science,cs.HC,Human-Computer Interaction,5394,human,user,users,people,design,interaction,virtual,performance,system,learning
2025,Computer Science,cs.HC,Human-Computer Interaction,6568,human,user,design,system,language,research,learning,understanding,users,challenges
2026,Computer Science,cs.HC,Human-Computer Interaction,1712,human,design,user,support,users,findings,performance,language,agents,across
2015,Computer Science,cs.IR,Information Retrieval,495,information,user,users,search,systems,text,retrieval,system,analysis,propose
2016,Computer Science,cs.IR,Information Retrieval,575,information,user,systems,social,users,search,content,recommendation,retrieval,learning
2017,Computer Science,cs.IR,Information Retrieval,792,user,information,recommendation,search,learning,text,methods,retrieval,propose,systems
2018,Computer Science,cs.IR,Information Retrieval,1127,recommendation,search,learning,user,information,systems,system,retrieval,text,neural
2019,Computer Science,cs.IR,Information Retrieval,1631,learning,methods,information,user,text,question,neural,systems,users,retrieval
2020,Computer Science,cs.IR,Information Retrieval,1998,user,recommendation,learning,information,users,ranking,search,systems,retrieval,propose
2021,Computer Science,cs.IR,Information Retrieval,2030,recommendation,user,information,item,learning,knowledge,graph,search,methods,propose
2022,Computer Science,cs.IR,Information Retrieval,2125,learning,user,information,recommendation,systems,knowledge,methods,recommender,retrieval,performance
2023,Computer Science,cs.IR,Information Retrieval,2625,information,user,recommendation,retrieval,performance,learning,language,recommender,systems,search
2024,Computer Science,cs.IR,Information Retrieval,3634,user,recommendation,learning,information,retrieval,systems,item,performance,language,search
2025,Computer Science,cs.IR,Information Retrieval,4128,retrieval,user,information,llms,language,knowledge,recommendation,performance,systems,generation
2026,Computer Science,cs.IR,Information Retrieval,1024,retrieval,user,recommendation,systems,information,multi,framework,semantic,search,across
2015,Computer Science,cs.IT,Information Theory,3015,energy,channel,performance,wireless,codes,information,algorithm,networks,rate,error
2016,Computer Science,cs.IT,Information Theory,3280,channel,optimal,information,network,rate,number,user,energy,users,noise
2017,Computer Science,cs.IT,Information Theory,3513,channel,codes,performance,networks,capacity,time,rate,network,error,probability
2018,Computer Science,cs.IT,Information Theory,3231,information,channel,user,codes,time,multiple,scheme,rate,performance,power
2019,Computer Science,cs.IT,Information Theory,3282,information,channel,rate,performance,codes,scheme,number,networks,error,multiple
2020,Computer Science,cs.IT,Information Theory,3604,performance,channel,codes,information,algorithm,wireless,systems,learning,communication,rate
2021,Computer Science,cs.IT,Information Theory,3687,codes,rate,channel,communication,system,information,algorithm,entropy,multiple,power
2022,Computer Science,cs.IT,Information Theory,3579,codes,channel,information,systems,multiple,rate,communication,algorithm,user,linear
2023,Computer Science,cs.IT,Information Theory,3592,channel,codes,communication,performance,information,design,sensing,multiple,systems,system
2024,Computer Science,cs.IT,Information Theory,3759,channel,information,performance,system,rate,communication,multi,sensing,network,multiple
2025,Computer Science,cs.IT,Information Theory,3809,codes,channel,information,rate,systems,performance,communication,decoding,system,user
2026,Computer Science,cs.IT,Information Theory,1039,information,communication,systems,channel,framework,performance,sensing,rate,learning,optimal
2015,Computer Science,cs.LG,Machine Learning,2490,learning,algorithm,clustering,deep,algorithms,classification,networks,methods,performance,neural
2016,Computer Science,cs.LG,Machine Learning,3576,learning,neural,deep,algorithm,classification,training,features,methods,algorithms,networks
2017,Computer Science,cs.LG,Machine Learning,5252,learning,deep,networks,neural,network,methods,performance,algorithm,training,gradient
2018,Computer Science,cs.LG,Machine Learning,10499,learning,deep,networks,neural,network,methods,performance,tasks,algorithm,time
